,lemma,count,pos
0,come,882,v
1,take,427,v
2,king,424,n
3,would,348,n
4,give,324,v
5,upon,316,n
6,make,309,v
7,could,306,n
8,like,294,n
9,away,287,r
10,look,277,n
11,time,263,n
12,theseus,235,n
13,back,230,r
14,great,214,a
15,call,214,n
16,shall,209,n
17,well,208,r
18,till,206,n
19,hand,199,n
20,long,195,r
21,fairy,194,n
22,never,192,r
23,last,188,a
24,young,186,a
25,must,182,n
26,little,179,a
27,land,176,n
28,home,172,n
29,head,164,n
30,many,161,a
31,know,154,v
32,maiden,150,n
33,mountain,150,n
34,people,150,n
35,mother,149,n
36,hero,149,n
37,child,148,n
38,found,147,n
39,among,140,n
40,hill,138,n
41,turn,137,n
42,heard,136,n
43,prince,135,n
44,soon,135,r
45,carry,132,n
46,father,131,n
47,tell,128,n
48,water,126,n
49,every,126,n
50,kill,125,n
51,thought,123,n
52,thing,123,n
53,foot,120,n
54,three,118,n
55,told,118,n
56,face,118,n
57,youth,117,n
58,answer,116,n
59,tree,116,n
60,stood,116,n
61,even,115,r
62,horse,115,n
63,begin,115,n
64,lion,113,n
65,another,110,n
66,live,110,a
67,become,109,n
68,house,109,n
69,first,108,r
70,stone,107,n
71,night,105,n
72,much,104,a
73,place,104,n
74,round,103,n
75,left,102,n
76,wild,102,n
77,grow,100,n
78,together,100,r
79,jason,100,n
80,knew,99,n
81,ship,99,n
82,queen,98,n
83,friend,96,n
84,princess,96,n
85,life,96,n
86,nothing,95,n
87,fair,94,n
88,beautiful,94,n
89,white,93,a
90,name,93,n
91,heart,93,n
92,palace,92,n
93,still,89,r
94,dance,88,n
95,master,87,n
96,lose,87,v
97,brought,87,n
98,help,86,n
99,might,86,n
100,rise,85,n
101,without,85,n
102,woman,85,n
103,find,85,v
104,good,84,a
105,ever,82,r
106,wife,82,n
107,earth,82,n
108,year,82,n
109,work,81,n
110,word,81,n
111,golden,80,a
112,daughter,79,n
113,shore,78,n
114,rock,78,n
115,perseus,78,n
116,caught,78,n
117,fell,77,v
118,wood,77,n
119,bring,76,n
120,city,76,n
121,world,76,n
122,sister,76,n
123,love,75,n
124,across,75,n
125,near,75,n
126,wait,75,n
127,want,74,n
128,spoke,74,n
129,show,74,n
130,follow,74,v
131,rest,74,n
132,black,73,a
133,garden,73,n
134,though,73,n
135,beast,73,n
136,watch,73,n
137,stop,73,n
138,thou,72,n
139,death,72,n
140,reply,72,n
141,side,72,n
142,mighty,71,n
143,ground,70,n
144,strange,70,n
